"","Numer tygodnia","Cena"
"1",1,128.098434351263
"2",2,121.24646378054
"3",3,122.339747843397
"4",4,120.767618336754
"5",5,121.355823777912
"6",6,123.857266685929
"7",7,126.770119521912
"8",8,123.796429158223
"9",9,124.719064087323
"10",10,128.161853699968
"11",11,129.209558046099
"12",12,129.395681937862
"13",13,129.836259442563
"14",14,134.441340782123
"15",15,136.022374039283
"16",16,134.582491015274
"17",17,133.898417330789
"18",18,136.905255531405
"19",19,137.949745687749
"20",20,138.547354453475
"21",21,140.510030395137
"22",22,145.306689593965
"23",23,146.125515550106
"24",24,146.17070020776
"25",25,149.096143220245
"26",26,149.350630136986
"27",27,152.71921271217
"28",28,152.047437197924
"29",29,151.553792201617
"30",30,151.526347091709
"31",31,150.951145672563
"32",32,151.152238981161
"33",33,150.471083497852
"34",34,150.783561486253
"35",35,150.583314376706
"36",36,145.140151728013
"37",37,142.882267926626
"38",38,142.40814519699
"39",39,141.715577228645
"40",40,137.929847353037
"41",41,137.390325360914
"42",42,136.970559793704
"43",43,136.715233914998
"44",44,135.975843354262
"45",45,135.367176781003
"46",46,135.540571728298
"47",47,136.51309200918
"48",48,135.909067344082
"49",49,135.335420944559
"50",50,135.820538995508
"51",51,136.796754563895
"52",52,139.145987981619
"53",53,145.219863133883
